"Manage Products*","Produkte verwalten*"
"Enhanced Product Grid","Enhanced Product Grid"
"About This Extension","Über diese Extension"
"Manage Products (Enhanced)","Produkte verwalten (erweitert)"
"WDCA Extensions","WDCA Extensions"
"Column Options","Spalten Optionen"
"Show Columns","Zeige Spalten"
"Truncate Long Texts After X Characters ","Kürze lange Texte nach X Zeichen "
"In-Grid Image Options","In-Grid Bild Optionen"
"Show Image Url","Zeige Bild-Url"
"(When product image is hidden for that row)","(Wenn das Produktbild nicht sichtbar ist für diese Zeile)"
"Show Image By Default","Zeige Bild standardmäßig"
"If your grid has a large page size by default this could get slow.","Wenn das Grid eine große Seitengröße hat, kann dies langsamer werden."
"Image Width","Bild Breite"
"Image Height","Bild Höhe"
"Default Grid State","Standard Grid Status"
"Sort Column Direction","Sortierungsrichtung"
"Sort Column","Sortiere Spalte"
"The selected column must be also selected above if it's not already there","Die ausgewählte Spalte muss auch oben ausgewählt werden, wenn dies nicht bereits gemacht wurde"
"Initial Page Number","Initiale Seite"
"Page Size","Seitengröße"
"Total of %d record(s) were successfully refreshed.","Es wurden %d Datensätze erfolgreich aktualisiert."
"Refresh Products","Produkte aktualisieren"
"Please select product(s)","Bitte Produkt(e) auswählen"
"Show Selected Images","Zeige ausgewählte Bilder"
"Hide Selected Images","Verstecke ausgewählte Bilder"
"Change Attribute Set","Ändere Attribut-Set"
"Descending","Absteigend"
"Ascending","Aufsteigend"
"Small Img","Thumbnail"
"Cost","Kosten"
"Url Key","Url Key"
"Tier Price","Stafelpreis"
"Tax Class ID","Steuerklasse ID"
"Spshl TO Date","Spshl TO Date"
"Spshl FROM Date","Spshl FROM Date"
"Custom Design FRM","Custom Design FRM"
"Custom Design TO","Custom Design TO"
"Meta Keywds","Meta Keywds"
"Meta Descr","Meta Descr"
"Meta Title","Meta Title"
"Short Description","Kurzbeschreibung"
